asset_id,filename,category,priority,generation_status,qa_status,scope,trigger,source_preview_url
voice.game.start,narration/narration_game_start_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,GAME_STARTING,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/0e9fafcd-4782-404d-8336-c94cf69be53d.mp3
voice.night.atmosphere,narration/narration_night_atmosphere_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,NIGHT_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/0ac43184-7b6f-4e7b-a98d-446f129cd9b7.mp3
voice.night.close_eyes,narration/narration_night_close_eyes_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,NIGHT_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/664d4229-a1f3-485b-89d9-d93203357642.mp3
voice.wolf.open,narration/narration_wolf_open_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,team_private,ROLE_WOLF_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/96f22092-1065-42c6-8f0f-79bae52bd8ef.mp3
voice.wolf.choose,narration/narration_wolf_choose_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,team_private,ROLE_WOLF_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/3ab3ade9-34c4-46fc-bb45-23a3181834b0.mp3
voice.wolf.close,narration/narration_wolf_close_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,team_private,ROLE_WOLF_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/d970a4d8-1818-4014-9c67-68da4f2044a2.mp3
voice.guard.open,narration/narration_guard_open_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_GUARD_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/b3b5806e-d39c-4471-9427-2d6f81fa4874.mp3
voice.guard.choose,narration/narration_guard_choose_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_GUARD_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/7f79dedd-2be6-4db5-8b80-2132ffb6ec19.mp3
voice.guard.close,narration/narration_guard_close_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_GUARD_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/b303b530-5e33-4880-907e-e6a0e88f4621.mp3
voice.seer.open,narration/narration_seer_open_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_SEER_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/31fc67d7-b982-4122-b877-f1ddcfeb7ecd.mp3
voice.seer.choose,narration/narration_seer_choose_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_SEER_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/f21a9dc8-ee91-42d9-b7ed-77e647d9e037.mp3
voice.seer.close,narration/narration_seer_close_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_SEER_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/e475b9c5-168f-4055-934a-b6ca8bb19382.mp3
voice.witch.open,narration/narration_witch_open_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_WITCH_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/b4982bc5-9533-4f00-be6c-18aff001574b.mp3
voice.witch.victim_exists,narration/narration_witch_victim_exists_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_WITCH_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/1a22cde8-e9f8-4ffb-b454-c7170d5329a5.mp3
voice.witch.close,narration/narration_witch_close_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,player_private,ROLE_WITCH_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/92a9d13b-340b-46e7-a727-a23893cc08b1.mp3
voice.day.atmosphere,narration/narration_day_atmosphere_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,DAWN_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/7b0877ae-1bdd-497f-b3d6-c65406402eac.mp3
voice.day.open_eyes,narration/narration_day_open_eyes_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,DAWN_ENTER,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/513c23bd-c0b5-418b-8e63-0c50e9a81e6c.mp3
voice.result.no_death,narration/narration_result_no_death_01.ogg,narration,P0,generated_external,audition_style_approved; per-file QA pending,broadcast,NIGHT_RESULT_NONE,https://storage.googleapis.com/adm--audio-playback--7d--public/mcp-preview/35f92256-2f32-4fce-9ea9-a3c25ae9e9bb.mp3
